,customer_lifetime_value,total_claim_amount,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies
46,4468.510542,579.165954,0,73,7,57,3,5
47,5514.344018,447.79344,23218,71,7,10,0,4
48,3343.875326,529.624084,0,92,11,77,0,1
49,2294.478927,313.023175,0,62,11,56,0,1
50,36707.42639,593.830288,24804,104,1,28,0,2
51,33473.34946,508.8,33190,106,18,95,0,2
52,7983.431709,173.956072,36014,69,4,40,3,2
53,4854.745666,307.2,29834,64,19,44,0,3
54,4293.997319,831.625979,16701,113,20,26,0,1
55,7164.395543,436.8,46623,91,1,53,0,3
56,7619.5158,302.56519,64749,64,24,59,0,2
57,3958.002823,484.8,0,101,29,12,0,1
58,4499.493252,704.768111,16969,124,34,47,2,1
59,4059.567414,518.4,11621,108,4,98,0,1
60,4458.113369,312.0,17622,65,1,36,1,3
61,8110.333139,504.0,11489,105,4,50,0,6
62,3339.764873,863.327324,0,94,20,53,0,1
63,24261.01777,104.331355,66525,100,0,86,0,2
64,6613.973653,676.391482,0,63,21,28,0,2
65,2930.693543,350.4,33663,73,29,71,0,1
66,8672.194272,537.6,22547,112,7,60,0,3
67,11638.66926,465.258644,61486,97,5,65,0,2
68,6846.150323,456.0,0,95,13,20,0,5
69,11727.77648,500.254235,29879,102,17,0,0,2
70,22643.83478,281.451042,93011,113,17,12,0,2
71,2614.474305,5.434505,65186,65,29,27,0,1
72,2451.752695,307.2,26840,64,1,47,2,1
73,6781.270203,982.399613,0,104,30,3,1,5
74,4974.801539,467.803638,75644,65,5,68,3,9
75,8591.604933,350.4,38984,73,27,38,0,2
76,5592.161392,29.03416,71811,71,17,48,0,6
77,8009.472833,321.6,20961,67,20,33,0,2
78,11318.08982,115.728852,38923,99,6,83,2,2
79,58166.55351,427.63121,61321,186,0,30,1,2
80,8025.229358,25.807685,0,77,20,26,0,2
81,5780.182197,787.993313,51066,74,23,0,0,8
82,4118.539113,489.6,34378,102,12,54,0,1
83,2523.07015,302.4,43072,63,35,15,0,1
84,6554.216396,475.623251,25222,90,28,69,0,3
85,7703.397294,320.849072,36765,66,15,32,1,2
86,5926.729379,460.8,23091,96,28,90,5,5
87,2683.470677,282.151207,48269,69,3,79,3,1
88,2695.182419,321.6,32720,67,13,12,0,1
89,6047.02516,364.8,20396,76,15,60,1,4
90,13171.01282,679.827592,21513,119,21,81,1,2
91,10656.88195,631.743039,72540,88,7,3,0,2
92,2527.653796,11.879037,80744,63,24,84,0,1
93,2672.095756,350.529033,52822,67,23,88,0,1
94,5313.294035,863.3947,0,77,8,10,1,9
95,20946.19251,492.127532,69738,74,2,26,1,2
96,8375.353929,132.588288,17780,109,12,18,0,9
97,4801.661503,297.6,18107,62,29,11,0,8
98,5745.94334,269.905129,57740,74,30,87,3,9
99,6066.115969,380.036697,32627,76,11,60,0,7
100,8002.308333,513.6,0,107,3,65,0,3
101,2393.915369,425.266308,0,70,24,10,0,1
102,4762.8179,49.011099,65795,62,2,85,1,3
103,4330.38602,513.6,60475,107,9,18,0,1
104,9402.729769,936.0,0,130,28,88,0,4
105,6966.694527,142.062768,41837,88,29,93,0,9
106,7694.064293,45.152521,32303,65,13,34,0,2
107,8717.561149,561.6,0,117,5,89,1,3
108,5928.748528,30.567357,40531,74,17,32,0,9
109,2452.977288,271.606799,79898,62,5,86,1,1
110,6701.571657,408.0,56398,85,4,18,0,7
111,7556.24034,470.4,35257,98,16,2,1,8
112,8492.6988,784.8,27804,109,19,54,0,7
113,7713.494046,316.8,45506,66,16,32,2,2
114,24084.5352,396.082036,65196,67,0,54,0,2
115,7290.069769,489.6,0,102,11,70,1,3
116,4772.943848,638.4,20993,133,35,90,0,1
117,6806.491395,465.633954,37839,86,35,77,0,9
118,2469.781334,368.400146,92711,62,24,10,0,1
119,3103.923041,236.902001,74665,78,10,90,2,1
120,2981.875575,582.679087,0,83,26,89,0,1
121,8902.737595,64.109663,46833,112,6,3,0,9
122,5499.447223,326.4,88768,68,17,77,0,7
123,15023.59858,921.6,28262,192,9,77,0,3
124,2509.107875,101.89645,33555,63,17,11,0,1
125,31221.7481,542.4,42780,113,10,27,1,2
126,3133.503432,143.747794,58850,78,20,26,0,1
127,3837.451863,424.077159,21880,97,29,37,0,1
128,11790.49617,316.8,25251,66,13,43,0,2
129,7838.068321,2.704934,0,69,9,12,0,2
130,4305.808345,523.2,24188,109,14,82,0,1
131,5973.976904,113.801497,41611,74,14,8,0,8
132,5670.442396,192.87572,28406,72,16,35,1,4
133,4731.749346,828.662719,69833,118,32,99,0,1
134,8026.379641,532.8,0,74,15,91,0,2
135,4022.963529,975.107098,0,117,6,1,0,1
136,9618.310865,53.798708,80536,119,5,83,0,3
137,2274.775451,606.642452,0,63,2,5,0,1
138,9552.926922,289.9122,97732,79,0,70,0,2
139,10388.55323,392.604371,61222,89,20,55,0,2
140,2470.121222,721.242206,0,74,7,20,0,1
141,5619.068508,456.52385,50335,140,9,54,0,1
142,9047.119209,1087.995426,0,127,30,11,0,6
143,6692.143668,806.4,63221,168,28,49,0,1
144,3731.504584,460.8,0,96,31,34,0,1
145,3660.770258,251.992083,64495,92,34,30,0,1
146,7928.829252,345.6,0,72,7,75,0,2
147,5011.751577,321.6,28859,67,24,51,3,4
148,7988.258292,99.257608,77330,99,0,21,0,3
149,3885.456401,504.0,0,105,3,92,0,1
150,2659.337982,336.0,24495,70,29,65,0,1
151,8564.768226,178.006524,95697,107,29,29,0,9
152,4885.162511,604.8,26372,126,11,7,0,1
153,9753.307106,8.312729,17514,127,2,5,0,3
154,2946.153697,316.599228,89270,74,17,90,0,1
155,2581.110945,312.0,29757,65,13,55,0,1
156,3517.385764,56.300724,51814,92,28,89,0,1
157,9743.350113,393.6,24028,82,14,27,0,2
158,3873.647046,701.708239,28142,105,18,50,0,1
159,7649.28199,128.705563,52705,64,14,8,1,2
160,2287.59692,679.368378,0,63,1,5,0,1
161,4475.424592,497.126827,84903,111,7,63,0,1
162,8714.922135,566.4,0,118,14,64,0,4
163,2248.449633,347.857619,24910,63,7,63,1,1
164,7416.197322,554.4,0,77,15,12,2,2
165,7771.158973,465.41477,21876,68,12,28,0,2
166,6968.3419,496.8,0,69,33,61,1,2
167,4250.282624,292.8,0,61,17,1,1,7
168,19776.56654,256.813837,70699,82,1,57,0,2
169,21343.46599,355.2,0,74,11,85,1,2
170,2413.139714,542.319401,27501,63,20,0,0,1
171,15363.84716,303.148399,15897,101,30,99,0,2
172,8456.961887,25.438063,25141,73,12,4,1,2
173,2189.642522,292.8,0,61,5,46,3,1
174,5780.182197,787.993313,51066,74,23,0,0,8
175,4639.981638,84.024413,28358,117,24,37,0,1
176,4465.335703,215.8182,61846,112,1,48,0,1
177,5968.118877,232.926145,90972,74,3,47,0,8
178,5097.763337,532.8,0,74,3,95,0,7
179,4076.634665,710.433775,29549,104,17,51,0,1
180,12252.60179,552.0,0,115,12,17,1,2
181,16936.27147,1122.658899,39411,217,4,29,2,4
182,4892.435461,408.374746,21709,62,28,17,0,3
183,9942.304791,408.0,67890,85,23,57,0,2
184,3735.838129,792.0,0,110,3,16,0,1
185,13117.52215,532.8,84311,111,11,98,4,2
186,4574.524094,754.358929,99316,114,26,53,0,1
187,5470.060561,702.990032,54507,138,20,11,0,1
188,2978.84601,206.837111,64586,76,3,17,0,1
189,6410.967544,275.395894,61709,82,5,41,2,7
190,4479.023088,459.738128,94656,111,12,79,1,1
191,2383.731879,496.8,0,69,5,40,0,1
192,2764.493659,336.0,61085,70,27,34,1,1
193,7920.105377,321.6,89284,67,7,31,3,2
194,6889.097981,302.4,0,63,6,12,0,2
195,3274.194616,430.994107,31686,81,11,33,0,1
196,9951.707743,1836.0,56855,255,12,1,0,1
197,2521.555686,67.632476,53703,67,3,45,2,1
198,23706.11337,844.481918,0,96,12,35,1,2
199,6047.02516,364.8,20396,76,15,60,1,4
200,11140.30248,722.486994,27679,150,30,28,0,3
201,4334.064096,590.4,23904,123,1,67,3,1
202,2799.74791,481.027516,65351,69,4,54,0,1
203,7923.136624,1124.427734,0,113,20,1,0,7
204,3688.110888,669.682001,0,63,0,54,3,7
205,12067.45599,1284.093173,0,116,14,35,0,2
206,2924.976721,240.259479,64459,72,16,64,0,1
207,15014.0927,912.0,32961,190,13,53,0,3
208,9277.233839,556.8,71416,116,10,0,0,3
209,6274.123875,115.086827,68964,78,15,6,0,3
210,3886.647414,470.4,78108,98,12,34,0,1
211,4386.277558,321.6,10621,67,28,22,0,5
212,11365.26766,383.167471,84910,95,4,69,0,2
213,5610.96434,307.963291,77493,70,2,35,0,3
214,2912.892035,355.2,81097,74,7,67,0,1
215,6915.729915,520.364752,96610,85,6,23,0,3
216,6262.663307,466.436375,30110,159,20,71,0,1
217,6503.397049,451.670309,22081,84,1,9,0,6
218,8007.399376,537.6,0,112,12,93,0,3
219,2929.916512,345.6,98473,72,19,69,0,1
220,5969.55297,355.2,97431,74,1,72,0,3
221,5473.15987,331.2,93870,69,1,96,0,8
222,5645.396665,428.734656,50366,72,9,5,0,9
223,6369.262355,398.4,34498,83,30,72,0,7
224,11833.76732,494.4,16552,103,23,53,0,2
225,6121.107929,369.6,26787,77,7,50,0,5
226,5159.369746,831.752839,0,74,2,42,0,9
227,2514.59196,156.124914,43860,65,15,58,0,1
228,8668.611261,373.428187,21474,114,13,72,2,9
229,4960.965384,395.934815,18174,66,8,16,0,9
230,5504.139033,350.4,0,73,18,45,0,5
231,7507.455372,231.201886,60920,64,10,61,0,2
232,32269.85139,289.904105,41520,90,18,70,0,2
233,5657.031588,729.6,0,152,12,89,0,1
234,5061.757902,326.4,0,68,19,16,0,8
235,5912.783829,350.4,72208,73,3,84,0,8
236,15182.27975,105.765111,53863,63,12,30,0,2
237,10747.03094,639.464548,66446,136,8,77,0,3
238,2050.623512,292.8,0,61,18,26,0,1
239,2465.444865,383.442328,64997,63,7,99,1,1
240,5343.121327,316.8,64460,66,18,42,0,3
241,8119.829071,99.085943,46618,67,22,77,0,2
242,4605.265164,307.2,0,64,13,64,0,4
243,6408.785577,566.935022,49988,84,6,37,5,5
244,2376.533508,436.8,0,91,2,8,5,1
245,3211.070017,412.8,16269,86,6,84,0,1
246,5094.522262,307.2,72006,64,4,38,0,3
247,25755.27817,388.8,0,81,3,60,2,2
248,8672.229719,2345.413441,0,245,34,83,0,1
249,8044.73072,321.6,44320,67,13,79,0,2
250,4001.519098,773.470977,19782,108,13,66,0,1
251,16706.11699,424.883448,63933,70,35,98,0,2
252,8544.411077,523.2,28224,109,13,13,0,8
253,7805.31287,508.8,21073,106,25,54,1,3
254,6112.756868,364.240307,63243,77,21,73,0,3
255,4772.943848,638.4,20993,133,35,90,0,1
256,10979.09559,354.729129,94827,135,5,64,0,4
257,5004.263818,283.995953,39161,63,18,83,1,4
258,13223.04379,403.2,37534,84,2,0,2,2
259,2623.31543,20.543176,80210,65,30,28,0,1
260,17840.19555,385.115437,0,62,32,59,0,2
261,5106.111827,140.165035,30110,64,2,4,0,5
262,17930.60451,326.4,21708,68,28,77,0,2
263,5457.342569,321.6,94731,67,23,65,0,4
264,6563.644143,398.4,32375,83,17,83,0,6
265,4812.525221,102.879769,16531,63,0,40,0,4
266,29328.04185,56.868289,32006,94,28,7,0,2
267,5773.520711,463.158502,81676,72,21,86,0,8
268,6847.1189,205.444066,71038,86,15,56,0,3
269,3595.31286,741.6,0,103,20,43,0,1
270,22855.61209,56.371967,20832,65,8,32,0,2
271,7859.414569,813.6,0,113,19,10,0,7
272,4115.577437,494.4,52405,103,2,27,0,1
273,5029.638777,795.864079,0,133,3,89,0,1
274,4821.418454,614.4,26583,128,6,46,4,1
275,5004.310469,72.438681,25486,65,15,53,0,3
276,8630.053943,532.8,24065,111,30,1,0,5
277,9322.08512,67.881546,70435,116,0,50,0,4
278,16727.56063,402.636829,0,76,33,36,2,2
279,3652.532435,641.388616,39679,92,2,85,0,1
280,6158.601171,342.481173,0,89,13,45,0,5
281,4376.083958,331.2,0,69,21,70,4,3
282,5569.456156,340.8,53565,71,27,34,1,6
283,2576.513006,412.101933,37574,66,19,14,1,1
284,8346.983233,73.700573,48259,108,14,79,0,3
285,6323.923864,374.4,78532,78,25,87,0,3
286,5973.14343,350.4,96163,73,23,90,0,3
287,4706.676993,345.6,0,72,0,86,0,7
288,8093.410258,722.024742,0,114,9,72,1,5
289,5035.744643,259.361117,72672,63,7,39,0,5
290,9027.867218,537.6,99002,112,33,75,1,8
291,7288.884849,396.295614,79494,91,19,30,0,3
292,18042.47942,358.281562,35704,225,21,35,0,8
293,4992.063043,653.388564,0,71,6,5,0,3
294,9102.267849,121.032372,26049,118,17,6,0,6
295,2540.407726,92.813396,70125,64,21,77,0,1
296,12941.89193,528.0,52369,110,34,49,1,2
297,2365.348601,159.636956,0,66,25,51,2,1
298,5720.765064,476.156957,41770,72,0,60,0,9
299,7035.534088,727.2,0,101,16,88,0,8
300,2636.97773,321.6,31911,67,33,27,0,1
301,5395.831967,42.078345,70051,68,15,69,0,8
302,8382.630118,561.6,19683,117,17,41,1,9
303,31161.74523,200.11606,30916,112,7,65,0,2
304,2887.742258,676.944023,0,80,24,95,0,1
305,8714.922135,566.4,0,118,14,64,0,4
306,25585.72783,830.623064,0,116,0,45,0,2
307,10272.6082,580.473259,60145,132,8,28,0,3
308,4376.363592,60.036683,63774,111,18,63,0,1
309,5318.89664,321.6,25134,67,3,0,0,6
310,4719.762191,47.53101,37057,61,5,48,1,6
311,4428.031583,303.872752,58577,110,6,62,0,1
312,5879.176092,100.620067,85857,73,3,19,0,6
313,9416.908485,481.339891,70602,116,8,47,0,3
314,8288.155579,508.8,33816,106,10,97,2,3
315,32654.8383,1101.6,0,153,7,75,0,2
316,4719.450052,86.320022,89642,121,11,20,4,1
317,3903.474784,470.4,60068,98,17,75,0,1
318,5457.259678,667.2,50044,139,16,14,0,1
319,2725.356404,56.60333,36650,69,2,70,1,1
320,4433.97368,262.865172,50653,110,29,42,0,1
321,5332.462694,309.577946,68931,66,32,30,0,7
322,2315.094985,350.4,0,73,14,39,1,1
323,5411.953687,365.364581,0,73,1,22,0,5
324,9587.33234,384.0,39266,80,33,31,0,2
325,22103.5072,489.6,0,102,35,48,0,2
326,9764.945308,705.6,0,98,24,11,1,2
327,2567.151468,9.51528,40864,65,2,75,0,1
328,2650.622781,244.564334,39035,68,15,65,0,1
329,11264.36334,639.105556,34923,98,23,82,0,2
330,2168.523464,453.6,0,63,1,56,0,1
331,8610.667489,532.8,0,111,27,36,0,9
332,2834.646235,511.2,24506,71,7,47,0,1
333,8930.139728,554.522969,0,82,25,63,0,2
334,5536.386959,336.0,52220,70,17,42,1,5
335,2840.85429,402.449823,0,74,17,73,0,1
336,8082.880956,327.020539,53554,67,6,5,0,2
337,5254.734278,5.3953,34476,67,23,49,1,3
338,5116.237577,131.401291,0,70,1,11,0,5
339,3034.646997,99.382943,68205,76,35,14,0,1
340,8024.89992,856.8,0,119,6,48,1,8
341,18211.14319,739.2,53690,154,20,97,0,2
342,5121.563312,518.4,0,72,2,22,0,5
343,2150.178588,292.8,0,61,28,31,0,1
344,5595.389905,340.8,74454,71,25,29,0,3
345,7562.824036,350.4,0,73,23,91,0,2
346,5385.853211,340.8,29664,71,1,69,0,3
347,4718.558501,260.879903,15680,64,20,29,0,8
348,9422.567923,64.546877,47272,79,17,17,3,2
349,3605.860265,441.6,21585,92,35,61,0,1
350,7762.590564,37.910623,23827,106,18,77,2,3
351,23444.90045,202.860399,69906,74,34,32,2,2
352,2558.178159,345.6,0,72,7,77,0,1
353,5123.170887,94.030308,89879,63,17,20,0,3
354,2537.744494,331.2,0,69,9,89,0,1
355,2969.593296,355.2,46131,74,27,28,0,1
356,4363.124641,286.234931,54514,109,5,36,3,1
357,5884.308607,1159.2,0,161,29,1,0,1
358,5272.191556,316.8,96668,66,2,95,0,3
359,5509.895664,466.570791,78879,69,9,67,1,4
360,16313.68349,331.2,0,69,21,86,0,2
361,5678.050167,364.8,0,76,8,44,0,3
362,12101.20884,1252.406235,0,112,28,30,0,2
363,2453.570794,331.2,29735,69,3,92,0,1
364,5075.66267,312.0,23082,65,18,90,0,7
365,3214.979402,421.484456,53984,80,15,62,0,1
366,12275.34309,430.505942,52135,156,6,86,0,9
367,2722.210707,398.502948,17576,71,29,70,0,1
368,2457.440923,7.646763,29486,62,19,73,0,1
369,3554.845264,55.510526,58557,88,4,83,0,1
370,4929.549699,351.270869,25632,63,27,52,0,7
371,8036.45034,806.4,0,112,7,42,0,9
372,4276.915328,647.454583,18768,68,19,53,3,3
373,33473.34946,508.8,33190,106,18,95,0,2
374,5960.581363,128.43823,47945,74,32,39,0,3
375,44795.46942,302.033971,58778,126,6,62,0,2
376,3832.118106,480.0,15192,100,1,7,0,1
377,6837.932624,1003.160633,51859,171,0,21,0,1
378,5285.26816,518.4,23422,72,25,76,0,3
379,3096.511217,379.2,21604,79,14,28,0,1
380,3589.710715,244.362072,79298,90,22,2,0,1
381,2582.408525,201.455005,76731,64,2,68,0,1
382,2487.729726,297.6,67282,62,29,27,0,1
383,13575.67599,552.0,48534,115,29,79,1,2
384,4685.504251,741.418485,77678,116,32,81,0,1
385,28685.82785,707.430832,48412,104,15,23,0,2
386,2764.032126,305.575785,33837,72,29,54,4,1
387,6183.111464,376.126419,23712,85,2,20,0,3
388,3873.647046,701.708239,28142,105,18,50,0,1
389,18929.3306,152.184244,72196,68,8,61,0,2
390,5553.295758,176.819414,68197,69,1,81,0,3
391,5011.259184,104.454624,75248,63,13,71,0,5
392,10442.44633,941.718054,0,98,9,50,0,2
393,2199.61781,468.0,0,65,5,19,1,1
394,8709.845263,121.306839,41546,111,4,47,0,3
395,7484.310483,460.8,46998,96,13,98,0,6
396,2613.023132,67.859881,57099,67,20,37,0,1
397,9080.639651,539.843003,33897,114,15,67,0,8
398,13770.97618,556.8,59207,116,23,21,0,2
399,2876.822941,350.4,40171,73,8,78,0,1
400,5548.031892,331.2,67798,69,1,78,0,9
401,5097.526248,765.709629,21665,136,0,25,0,1
402,24143.87556,626.4,0,87,9,75,0,2
403,3538.059456,321.6,0,67,12,67,5,7
404,29091.23936,494.395024,34226,244,29,22,0,2
405,19834.20115,115.545086,65989,123,4,43,1,2
406,4731.366975,19.938981,30686,61,22,45,0,3
407,35537.846,799.926741,0,113,15,6,0,2
408,34611.37896,523.2,20090,109,10,59,0,2
409,20216.30883,878.4,0,183,6,16,0,2
410,13976.51925,444.470676,77094,176,25,29,0,5
411,5904.088162,268.819985,97413,73,21,80,0,6
412,5595.835041,331.2,79189,69,6,97,0,4
413,2294.303629,297.6,0,62,5,31,0,1
414,6273.911874,412.8,18577,86,21,76,0,6
415,3726.727996,806.4,0,112,7,34,1,1
416,5285.118669,321.6,40783,67,13,43,1,9
417,5110.680779,532.8,0,74,34,51,0,4
418,7126.596501,1317.6,17483,183,24,63,0,1
419,4601.634099,691.412378,84394,114,9,38,0,1
420,9155.239699,804.811859,0,127,3,93,0,3
421,14808.05624,297.6,41440,62,20,80,1,2
422,8901.678357,1090.86434,0,136,14,69,1,8
423,5734.598243,50.587035,98132,71,10,61,0,3
424,4177.696973,537.6,0,112,4,49,0,1
425,27776.28906,151.528482,88220,230,28,63,0,2
426,10364.34749,347.075948,58327,129,31,5,0,3
427,7851.901368,271.697529,25950,66,27,1,0,2
428,4772.943848,638.4,20993,133,35,90,0,1
429,14226.50485,849.6,65726,177,35,90,0,7
430,4031.104947,639.45899,0,63,35,59,3,3
431,2794.907476,345.6,39783,72,28,43,0,1
432,4362.931238,528.0,58842,110,6,74,0,1
433,9624.524417,595.2,25629,124,3,70,2,6
434,5015.009472,624.0,48567,130,12,15,0,1
435,6948.422239,1337.063487,0,196,0,73,2,1
436,2896.918767,355.2,33746,74,1,6,1,1
437,21903.91364,125.194389,22254,79,22,75,0,2
438,9028.821403,235.220971,65974,113,3,43,0,3
439,5303.759534,395.34111,0,76,18,63,0,3
440,4165.354461,542.4,17161,113,1,22,1,1
441,5123.768112,772.798511,0,74,1,62,0,7
442,9492.342964,633.6,0,132,9,85,0,6
443,8204.863191,350.4,0,73,9,14,0,2
444,9877.295699,168.517149,67752,131,4,40,4,9
445,4815.009736,307.2,25398,64,30,80,0,6
446,6277.011679,633.6,0,88,30,19,0,4
447,8260.639809,504.0,33321,105,6,2,0,3
448,2549.450038,845.654042,0,78,13,32,0,1
449,4502.679656,92.915251,68798,114,19,69,0,1
450,3803.921781,668.29397,20325,100,4,6,0,1
451,8635.4035,700.901632,13129,117,15,93,0,6
452,5510.558964,525.6,0,73,24,57,0,4
453,3585.884123,25.299,49080,91,14,68,0,1
454,4889.25278,375.330097,42536,63,30,57,0,6
455,2756.941661,418.233667,29926,74,25,34,0,1
456,3289.547398,398.240791,0,86,5,55,0,1
457,10937.1785,938.513425,21450,138,15,35,0,4
458,7375.567916,338.619869,33345,65,32,52,0,2
459,10110.77818,339.344531,15752,90,27,37,0,2
460,5119.414293,302.818833,40169,65,1,47,1,3
461,8533.832013,619.165344,26049,113,10,15,1,9
462,2224.768,326.4,0,68,3,4,0,1
463,8042.803784,259.561195,55411,100,24,53,0,4
464,2554.437138,336.0,12459,70,4,41,0,1
465,18073.93999,364.8,64620,76,24,32,1,2
466,2430.506586,179.161843,83140,61,25,70,0,1
467,3167.658442,662.4,0,92,20,50,0,1
468,5465.603983,75.501852,54422,68,9,8,0,5
469,10357.51422,306.983596,68309,131,4,67,0,9
470,2537.813878,84.026848,56621,65,27,36,2,1
471,2821.947219,139.489926,38977,70,27,22,0,1
472,7757.128146,607.4459,0,111,32,13,0,3
473,4079.132667,631.124372,0,114,12,43,0,1
474,5955.544552,628.023494,0,83,35,87,0,8
475,14158.61364,336.0,83235,70,16,33,0,2
476,8487.238032,426.655599,0,74,7,93,0,2
477,6285.476868,91.417923,32390,80,20,36,0,8
478,11473.48149,317.844812,66538,95,14,64,0,2
479,2310.882998,460.8,0,64,12,24,0,1
480,23594.6802,86.461582,76358,66,25,3,0,2
481,2514.59196,156.124914,43860,65,15,58,0,1
482,5380.898636,321.6,55350,67,0,13,0,9
483,4770.550911,362.774545,12964,65,2,37,0,4
484,6756.651404,221.856184,33288,86,1,27,2,9
485,5936.011773,980.169081,0,84,31,25,0,3
486,3570.760509,614.675906,56168,88,13,20,0,1
487,6019.960469,662.4,0,92,3,28,0,4
488,5426.863953,331.2,23105,69,15,21,0,3
489,2730.313804,145.252168,36218,68,6,83,0,1
490,4982.681374,374.240783,52275,62,6,88,0,5
491,8769.266756,355.2,49665,74,5,51,0,2
492,4220.613534,528.0,32471,110,0,87,0,1
493,11537.50507,619.2,0,86,12,89,1,2
494,5887.182043,80.669257,62773,73,19,57,0,9
495,4700.583771,561.6,76694,117,34,23,0,1
496,10963.95723,1324.8,55687,276,33,91,0,1
497,2523.171245,504.0,0,70,20,81,0,1
498,3757.804716,460.8,36633,96,20,61,1,1
499,12941.73353,468.566133,77060,106,23,90,0,2
500,3764.465074,842.43785,92600,94,9,48,0,1
501,6889.557028,475.2,0,66,2,75,0,2
502,3623.454198,1171.93117,0,111,6,24,2,1
503,7582.113842,268.471802,64801,64,23,19,0,2
504,8277.74558,494.4,45257,103,33,90,0,4
505,2576.455597,475.2,26854,66,31,70,0,1
506,8205.387936,138.722385,85840,102,14,79,2,4
507,19582.46887,345.6,26463,72,28,93,0,2
508,6481.526576,467.24802,30689,81,23,51,0,5
509,2599.310879,467.503236,29590,66,17,18,0,1
510,9830.337629,1214.4,25965,253,15,59,0,1
511,10442.65139,667.2,17269,139,3,31,0,5
512,36057.53702,192.085299,90330,137,0,86,3,2
513,8470.036773,619.973889,0,113,34,5,0,8
514,8278.786492,1002.782553,0,110,20,66,0,7
515,4788.932598,321.6,0,67,2,49,1,3
516,3087.999917,384.0,18558,80,17,23,0,1
517,4443.736209,251.774574,46384,113,33,93,0,1
518,7984.086473,866.208321,0,72,1,77,0,2
519,7180.971028,1210.920949,42303,180,24,66,0,1
520,15656.03434,599.648466,71731,130,12,50,0,2
521,5780.182197,787.993313,51066,74,23,0,0,8
522,20714.94043,2027.724442,0,203,20,66,0,2
523,5337.352409,619.2,0,86,19,93,3,5
524,5050.826183,72.852047,0,69,16,45,0,6
525,5116.624022,449.819671,26173,68,2,10,1,9
526,7268.736958,302.4,24445,63,18,15,0,2
527,2616.613903,316.8,72302,66,6,27,0,1
528,3738.436222,489.6,27208,102,10,65,0,1
529,2725.356404,56.60333,36650,69,2,70,1,1
530,5453.861203,259.060862,30855,68,7,15,0,7
531,6846.150323,456.0,0,95,13,20,0,5
532,6172.914199,364.8,99960,76,19,83,0,4
533,10346.32454,470.4,0,98,1,15,0,2
534,6997.008618,299.356083,55873,88,30,19,0,6
535,4196.257691,699.1679,18052,111,5,71,0,1
536,7858.109763,117.959654,28937,104,28,23,2,6
537,6064.343994,545.240341,0,86,34,80,0,5
538,17497.52201,350.4,0,73,9,94,0,2
539,8970.647312,328.231432,12829,118,33,1,0,9
540,5923.117229,66.568642,92163,73,3,79,0,6
541,35850.59935,1382.4,17588,192,24,92,0,2
542,4331.460674,722.178166,82302,106,11,92,0,1
543,13309.33517,609.6,0,127,19,40,0,2
544,4528.50489,542.4,70340,113,5,56,0,1
545,2791.906514,532.8,0,74,35,59,0,1
546,8092.87696,369.614729,50825,102,3,46,0,3
